"MTU (CET)","Day-ahead Price [EUR/MWh]","BZN|NL"
"18.01.2020 00:00 - 18.01.2020 01:00","27.34"
"18.01.2020 01:00 - 18.01.2020 02:00","27.20"
"18.01.2020 02:00 - 18.01.2020 03:00","26.71"
"18.01.2020 03:00 - 18.01.2020 04:00","25.96"
"18.01.2020 04:00 - 18.01.2020 05:00","26.01"
"18.01.2020 05:00 - 18.01.2020 06:00","26.55"
"18.01.2020 06:00 - 18.01.2020 07:00","27.35"
"18.01.2020 07:00 - 18.01.2020 08:00","30.10"
"18.01.2020 08:00 - 18.01.2020 09:00","32.24"
"18.01.2020 09:00 - 18.01.2020 10:00","38.65"
"18.01.2020 10:00 - 18.01.2020 11:00","35.00"
"18.01.2020 11:00 - 18.01.2020 12:00","29.90"
"18.01.2020 12:00 - 18.01.2020 13:00","29.90"
"18.01.2020 13:00 - 18.01.2020 14:00","34.90"
"18.01.2020 14:00 - 18.01.2020 15:00","34.78"
"18.01.2020 15:00 - 18.01.2020 16:00","35.09"
"18.01.2020 16:00 - 18.01.2020 17:00","37.27"
"18.01.2020 17:00 - 18.01.2020 18:00","41.30"
"18.01.2020 18:00 - 18.01.2020 19:00","43.04"
"18.01.2020 19:00 - 18.01.2020 20:00","41.91"
"18.01.2020 20:00 - 18.01.2020 21:00","37.40"
"18.01.2020 21:00 - 18.01.2020 22:00","35.13"
"18.01.2020 22:00 - 18.01.2020 23:00","32.40"
"18.01.2020 23:00 - 19.01.2020 00:00","33.40"
"19.01.2020 00:00 - 19.01.2020 01:00","33.10"
"19.01.2020 01:00 - 19.01.2020 02:00","30.71"
"19.01.2020 02:00 - 19.01.2020 03:00","28.88"
"19.01.2020 03:00 - 19.01.2020 04:00","28.70"
"19.01.2020 04:00 - 19.01.2020 05:00","27.63"
"19.01.2020 05:00 - 19.01.2020 06:00","27.00"
"19.01.2020 06:00 - 19.01.2020 07:00","27.70"
"19.01.2020 07:00 - 19.01.2020 08:00","29.91"
"19.01.2020 08:00 - 19.01.2020 09:00","31.47"
"19.01.2020 09:00 - 19.01.2020 10:00","35.14"
"19.01.2020 10:00 - 19.01.2020 11:00","35.20"
"19.01.2020 11:00 - 19.01.2020 12:00","34.45"
"19.01.2020 12:00 - 19.01.2020 13:00","33.36"
"19.01.2020 13:00 - 19.01.2020 14:00","29.90"
"19.01.2020 14:00 - 19.01.2020 15:00","28.74"
"19.01.2020 15:00 - 19.01.2020 16:00","29.75"
"19.01.2020 16:00 - 19.01.2020 17:00","31.02"
"19.01.2020 17:00 - 19.01.2020 18:00","42.11"
"19.01.2020 18:00 - 19.01.2020 19:00","44.24"
"19.01.2020 19:00 - 19.01.2020 20:00","43.89"
"19.01.2020 20:00 - 19.01.2020 21:00","41.14"
"19.01.2020 21:00 - 19.01.2020 22:00","36.74"
"19.01.2020 22:00 - 19.01.2020 23:00","40.00"
"19.01.2020 23:00 - 20.01.2020 00:00","36.15"
"20.01.2020 00:00 - 20.01.2020 01:00","34.24"
"20.01.2020 01:00 - 20.01.2020 02:00","34.01"
"20.01.2020 02:00 - 20.01.2020 03:00","33.08"
"20.01.2020 03:00 - 20.01.2020 04:00","32.10"
"20.01.2020 04:00 - 20.01.2020 05:00","31.50"
